reviewid, userid, courseid, feedback, like_dislike, ranking_score, active, recbegindate, recenddate
225,913,318,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl,t,2,y,2019-02-03,9999-12-31
281,709,892,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,f,3,y,2020-01-09,9999-12-31
226,891,396,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,f,1,y,2018-05-28,9999-12-31
227,298,446,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,t,4,y,2022-05-09,9999-12-31
228,978,221,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus,t,4,y,2019-01-21,9999-12-31
229,216,434,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,f,3,y,2022-08-11,9999-12-31
230,943,595,duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam,f,1,y,2020-08-15,9999-12-31
231,566,452,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,t,4,y,2019-04-07,9999-12-31
232,950,864,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,t,4,y,2019-07-28,9999-12-31
233,659,434,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,f,1,y,2020-08-12,9999-12-31
234,511,697,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc,t,1,y,2020-12-30,9999-12-31
235,227,7,,f,,y,2018-10-30,9999-12-31
236,709,33,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate,t,2,y,2019-04-10,9999-12-31
237,116,102,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,t,2,y,2018-12-12,9999-12-31
238,306,107,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,f,1,y,2020-11-03,9999-12-31
239,59,520,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,t,4,y,2021-05-07,9999-12-31
240,895,447,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,f,3,y,2021-07-17,9999-12-31
241,433,947,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,f,3,y,2018-11-25,9999-12-31
242,558,606,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id,t,4,y,2019-01-31,9999-12-31
243,301,270,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,t,1,y,2021-05-16,9999-12-31
244,548,753,,t,,y,2019-05-12,9999-12-31
245,413,629,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam,t,3,y,2018-07-26,9999-12-31
246,959,516,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed,f,3,y,2019-06-24,9999-12-31
247,251,37,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,f,1,y,2020-02-21,9999-12-31
248,806,823,,f,,y,2020-04-05,9999-12-31
249,875,435,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor,t,5,y,2018-03-18,9999-12-31
250,22,182,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris,t,1,y,2018-06-04,9999-12-31
251,515,31,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis,t,5,y,2021-06-14,9999-12-31
252,471,855,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,t,1,y,2018-11-12,9999-12-31
253,146,79,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,t,5,y,2018-05-25,9999-12-31
254,719,170,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,t,5,y,2021-05-20,9999-12-31
255,425,539,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,t,1,y,2021-09-22,9999-12-31
256,587,619,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,t,1,y,2020-12-14,9999-12-31
257,483,31,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,f,1,y,2021-01-02,9999-12-31
258,824,629,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,t,3,y,2020-09-02,9999-12-31
259,18,103,,f,,y,2020-12-13,9999-12-31
260,335,922,nec nisi volutpat eleifend donec ut dolor morbi vel lectus,t,5,y,2018-03-24,9999-12-31
261,18,936,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,f,1,y,2020-10-30,9999-12-31
262,204,249,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,t,2,y,2019-07-28,9999-12-31
263,738,689,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,f,4,y,2021-04-22,9999-12-31
264,615,136,,f,,y,2018-10-18,9999-12-31
265,332,943,volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,t,2,y,2022-06-08,9999-12-31
266,934,278,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus,f,5,y,2021-05-18,9999-12-31
267,850,134,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,f,4,y,2021-04-14,9999-12-31
268,802,441,at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,f,4,y,2021-11-03,9999-12-31
269,823,637,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,t,4,y,2022-05-08,9999-12-31
270,372,866,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc,t,2,y,2021-02-08,9999-12-31
271,688,89,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare,t,1,y,2019-02-27,9999-12-31
272,777,444,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,t,5,y,2022-06-10,9999-12-31
273,772,625,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac,t,1,y,2018-01-11,9999-12-31
274,811,482,tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,t,3,y,2022-08-25,9999-12-31
275,375,269,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla,f,2,y,2019-02-01,9999-12-31
276,188,567,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,t,4,y,2018-03-10,9999-12-31
277,280,29,ac nibh fusce lacus purus aliquet at feugiat non pretium,f,2,y,2020-12-07,9999-12-31
278,25,700,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia,t,3,y,2019-07-19,9999-12-31
279,39,762,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,f,4,y,2019-03-17,9999-12-31
280,277,988,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit,t,4,y,2021-03-29,9999-12-31
283,112,279,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,f,4,y,2021-05-13,9999-12-31
284,742,909,,t,,y,2020-07-13,9999-12-31
285,58,489,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,f,5,y,2021-09-01,9999-12-31
286,482,886,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus,f,4,y,2018-08-08,9999-12-31
287,181,44,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor,t,5,y,2019-11-30,9999-12-31
288,703,288,lectus pellentesque at nulla suspendisse potenti cras in purus eu,f,1,y,2021-04-16,9999-12-31
289,968,311,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,t,5,y,2020-07-11,9999-12-31
290,21,968,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,f,5,y,2018-08-28,9999-12-31
291,545,197,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in,f,4,y,2018-07-27,9999-12-31
292,73,387,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec,t,3,y,2018-12-16,9999-12-31
293,600,108,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero,t,2,y,2021-03-01,9999-12-31
294,410,566,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis,f,4,y,2019-10-12,9999-12-31
295,104,76,dui luctus rutrum nulla tellus in sagittis dui vel nisl,t,3,y,2020-02-27,9999-12-31
296,742,941,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel,t,5,y,2022-05-07,9999-12-31
297,274,127,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,f,2,y,2019-08-13,9999-12-31
298,983,988,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non,f,3,y,2021-07-28,9999-12-31
299,434,408,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,t,4,y,2018-06-08,9999-12-31
300,117,673,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non,t,1,y,2020-07-18,9999-12-31
301,100,325,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a,t,3,y,2018-11-21,9999-12-31
302,844,107,non mauris morbi non lectus aliquam sit amet diam in magna bibendum,t,4,y,2019-07-18,9999-12-31
303,183,120,,f,,y,2019-06-18,9999-12-31
304,809,753,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,f,2,y,2020-02-14,9999-12-31
305,955,683,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae,f,2,y,2021-11-30,9999-12-31
306,36,735,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,f,2,y,2022-04-16,9999-12-31
307,582,948,,f,,y,2019-09-23,9999-12-31
308,229,847,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus,t,3,y,2019-12-07,9999-12-31
309,325,184,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor,t,4,y,2019-02-18,9999-12-31
310,207,22,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,t,1,y,2020-04-12,9999-12-31
311,98,416,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis,t,3,y,2019-07-12,9999-12-31
312,504,219,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,t,3,y,2019-03-21,9999-12-31
313,761,896,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu,t,4,y,2020-09-01,9999-12-31
314,540,397,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,f,3,y,2018-06-21,9999-12-31
315,67,907,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,f,2,y,2020-06-05,9999-12-31
316,718,277,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci,f,5,y,2022-02-22,9999-12-31
317,466,479,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla,f,4,y,2019-02-26,9999-12-31
318,577,265,,t,,y,2021-04-07,9999-12-31
319,828,451,,t,,y,2018-07-18,9999-12-31
320,985,537,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,f,4,y,2020-03-26,9999-12-31
321,8,14,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet,t,1,y,2019-08-24,9999-12-31
322,1,613,pellentesque at nulla suspendisse potenti cras in purus eu magna,f,1,y,2019-12-07,9999-12-31
323,830,830,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,f,4,y,2019-03-12,9999-12-31
324,615,324,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,f,2,y,2022-01-23,9999-12-31
325,856,88,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed,f,2,y,2022-03-15,9999-12-31
326,39,109,,f,,y,2020-11-11,9999-12-31
327,849,902,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,f,5,y,2022-05-09,9999-12-31
328,26,526,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,t,5,y,2021-11-09,9999-12-31
329,890,104,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,t,2,y,2018-01-24,9999-12-31
330,907,321,a pede posuere nonummy integer non velit donec diam neque vestibulum,t,3,y,2021-03-05,9999-12-31
331,878,647,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam,t,2,y,2020-07-21,9999-12-31
332,66,104,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,f,2,y,2020-09-30,9999-12-31
333,623,578,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,f,4,y,2018-03-31,9999-12-31
334,626,234,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus,f,5,y,2019-09-15,9999-12-31
335,929,629,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,f,1,y,2022-04-20,9999-12-31
336,182,391,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,t,1,y,2020-03-29,9999-12-31
337,358,974,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam,t,2,y,2019-05-17,9999-12-31
338,6,569,erat quisque erat eros viverra eget congue eget semper rutrum,t,3,y,2018-09-03,9999-12-31
339,279,198,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,f,3,y,2018-04-26,9999-12-31
340,888,705,pretium iaculis diam erat fermentum justo nec condimentum neque sapien,f,5,y,2018-01-21,9999-12-31
341,563,826,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum,f,3,y,2021-07-10,9999-12-31
342,106,416,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,t,4,y,2018-03-01,9999-12-31
343,342,928,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,f,5,y,2020-02-17,9999-12-31
344,627,974,,t,,y,2021-03-21,9999-12-31
345,681,286,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,t,2,y,2021-05-15,9999-12-31
346,855,530,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum,f,3,y,2019-10-25,9999-12-31
347,275,17,,f,,y,2019-09-11,9999-12-31
348,478,631,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc,f,4,y,2021-05-17,9999-12-31
349,334,944,,f,,y,2019-02-18,9999-12-31
350,169,582,,f,,y,2019-07-20,9999-12-31
351,394,859,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,t,3,y,2018-01-24,9999-12-31
352,147,702,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi,f,3,y,2020-01-26,9999-12-31
353,429,373,orci eget orci vehicula condimentum curabitur in libero ut massa,f,5,y,2021-07-13,9999-12-31
354,651,392,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,f,4,y,2020-06-12,9999-12-31
355,954,670,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus,f,3,y,2020-07-18,9999-12-31
356,334,267,et ultrices posuere cubilia curae mauris viverra diam vitae quam,t,2,y,2021-10-18,9999-12-31
357,897,675,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio,t,2,y,2021-08-01,9999-12-31
358,260,805,praesent blandit nam nulla integer pede justo lacinia eget tincidunt,f,5,y,2022-07-05,9999-12-31
359,684,651,nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,f,2,y,2019-12-06,9999-12-31
360,826,380,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia,f,3,y,2020-08-22,9999-12-31
361,914,659,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in,f,1,y,2019-01-04,9999-12-31
362,851,967,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,f,2,y,2021-06-28,9999-12-31
363,775,330,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,t,2,y,2021-02-06,9999-12-31
364,923,185,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,t,3,y,2022-01-22,9999-12-31
365,390,779,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis,f,5,y,2018-01-07,9999-12-31
366,565,838,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum,t,4,y,2020-04-20,9999-12-31
367,293,749,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,t,5,y,2018-01-27,9999-12-31
368,235,312,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis,f,3,y,2018-06-03,9999-12-31
369,61,629,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,t,3,y,2021-11-24,9999-12-31
370,629,825,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,f,3,y,2019-11-04,9999-12-31
371,137,9,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,t,5,y,2021-10-16,9999-12-31
372,299,735,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,f,5,y,2022-04-10,9999-12-31
373,602,270,ante vivamus tortor duis mattis egestas metus aenean fermentum donec,f,2,y,2021-11-05,9999-12-31
374,410,717,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,t,4,y,2022-02-01,9999-12-31
375,526,15,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices,t,5,y,2019-08-06,9999-12-31
376,387,228,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu,t,5,y,2019-03-18,9999-12-31
377,38,10,at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at,f,2,y,2019-06-19,9999-12-31
378,30,421,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,t,2,y,2022-06-05,9999-12-31
379,582,640,justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna,t,5,y,2020-01-28,9999-12-31
380,435,239,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,t,2,y,2018-02-22,9999-12-31
381,524,216,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,t,4,y,2018-10-05,9999-12-31
382,168,240,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis,f,1,y,2020-03-02,9999-12-31
383,344,944,semper porta volutpat quam pede lobortis ligula sit amet eleifend,t,2,y,2020-11-26,9999-12-31
384,181,999,,f,,y,2020-09-28,9999-12-31
385,846,146,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,f,1,y,2021-04-05,9999-12-31
386,678,439,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,f,2,y,2021-12-21,9999-12-31
387,968,676,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,f,3,y,2020-07-18,9999-12-31
388,861,739,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,f,3,y,2019-05-05,9999-12-31
389,17,133,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi,f,5,y,2022-03-12,9999-12-31
390,922,474,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,f,3,y,2021-03-24,9999-12-31
611,733,806,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in,t,5,y,2020-12-24,9999-12-31
391,362,486,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,f,4,y,2018-08-11,9999-12-31
392,64,803,in porttitor pede justo eu massa donec dapibus duis at velit eu est,f,4,y,2021-06-15,9999-12-31
393,880,503,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere,t,2,y,2019-06-24,9999-12-31
394,401,839,,t,,y,2020-06-05,9999-12-31
395,814,584,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam,f,3,y,2022-08-25,9999-12-31
396,86,995,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,f,1,y,2021-09-12,9999-12-31
397,305,359,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus,f,5,y,2018-01-31,9999-12-31
398,488,974,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,t,5,y,2019-12-03,9999-12-31
399,617,678,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec,f,4,y,2022-07-04,9999-12-31
400,691,834,nulla tellus in sagittis dui vel nisl duis ac nibh,f,2,y,2022-04-25,9999-12-31
401,454,576,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,t,3,y,2020-02-26,9999-12-31
402,213,642,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac,f,3,y,2021-10-29,9999-12-31
403,504,420,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus,t,2,y,2019-06-20,9999-12-31
404,411,547,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum,f,1,y,2019-06-21,9999-12-31
405,642,544,,f,,y,2020-03-08,9999-12-31
406,337,396,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,f,3,y,2021-12-31,9999-12-31
407,975,422,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula,t,4,y,2022-08-25,9999-12-31
408,951,898,,f,,y,2018-08-17,9999-12-31
409,601,46,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,f,3,y,2018-05-27,9999-12-31
410,8,701,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor,t,4,y,2019-10-23,9999-12-31
411,586,526,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,f,4,y,2021-05-10,9999-12-31
412,137,89,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et,t,2,y,2022-05-16,9999-12-31
413,477,967,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,f,4,y,2021-04-08,9999-12-31
414,323,173,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,t,3,y,2019-12-23,9999-12-31
415,586,82,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,t,2,y,2022-05-15,9999-12-31
416,391,555,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit,f,4,y,2018-10-28,9999-12-31
417,606,805,,t,,y,2021-09-18,9999-12-31
418,288,265,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet,f,5,y,2021-10-23,9999-12-31
419,610,267,in felis donec semper sapien a libero nam dui proin leo odio porttitor id,f,4,y,2018-01-14,9999-12-31
420,362,72,libero nam dui proin leo odio porttitor id consequat in consequat ut,t,5,y,2020-09-06,9999-12-31
421,74,98,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,t,4,y,2020-07-24,9999-12-31
422,631,976,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est,f,2,y,2018-05-10,9999-12-31
423,527,120,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,t,1,y,2019-08-21,9999-12-31
424,570,541,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,t,1,y,2020-11-14,9999-12-31
425,625,745,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,f,4,y,2018-07-03,9999-12-31
426,327,458,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem,f,2,y,2018-08-28,9999-12-31
427,163,588,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam,t,3,y,2019-02-24,9999-12-31
428,97,581,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,f,1,y,2018-08-19,9999-12-31
429,493,765,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor,t,1,y,2019-11-09,9999-12-31
430,889,29,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium,t,3,y,2020-02-09,9999-12-31
431,987,501,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa,f,5,y,2018-05-25,9999-12-31
432,296,378,et ultrices posuere cubilia curae nulla dapibus dolor vel est,f,1,y,2021-01-12,9999-12-31
433,489,445,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,t,5,y,2019-09-06,9999-12-31
434,725,885,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut,t,4,y,2022-07-21,9999-12-31
435,437,364,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis,t,2,y,2022-08-26,9999-12-31
436,973,803,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,f,4,y,2018-05-22,9999-12-31
437,604,979,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit,t,5,y,2021-08-29,9999-12-31
438,128,619,,t,,y,2020-05-29,9999-12-31
439,411,115,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,f,4,y,2021-03-28,9999-12-31
440,933,937,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,t,3,y,2018-07-06,9999-12-31
441,318,447,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,f,1,y,2021-08-25,9999-12-31
442,843,408,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,t,4,y,2020-09-21,9999-12-31
